,genre1,genre2,diff,norm_diff
0,Action,Adventure,20.4140574926,1.56794788656
1,Action,Animation,24.9213639589,1.74245390797
2,Action,Children,26.6573564242,1.80966503296
3,Action,Comedy,26.0675210765,1.7868288179
4,Action,Crime,22.3173306399,1.64163549291
5,Action,Documentary,25.5899715043,1.76833988743
6,Action,Drama,26.7373205948,1.8127609461
7,Action,Fantasy,21.5388824807,1.61149689636
9,Action,Horror,24.3583680156,1.7206568141
10,Action,IMAX,14.9716898645,1.35723979983
11,Action,Musical,26.379208725,1.79889619603
12,Action,Mystery,25.4342230293,1.76230988993
13,Action,Romance,31.57350786,2.0
14,Action,Sci-Fi,19.8119781084,1.54463762827
15,Action,Thriller,21.8776177186,1.62461145582
16,Action,War,18.2109737812,1.4826527383
17,Action,Western,21.7007681957,1.6177645048
18,Adventure,Action,20.4140574926,1.56794788656
19,Adventure,Animation,16.2589694688,1.40707844379
20,Adventure,Children,17.4764286315,1.45421390181
21,Adventure,Comedy,23.0132246603,1.66857790247
22,Adventure,Crime,24.5095640511,1.72651055819
23,Adventure,Documentary,22.5451593588,1.65045616743
24,Adventure,Drama,25.8531556021,1.77852938978
25,Adventure,Fantasy,19.6837230164,1.53967207157
27,Adventure,Horror,20.6105522491,1.57555542744
28,Adventure,IMAX,13.4752464812,1.29930311791
29,Adventure,Musical,23.7208854839,1.69597587857
30,Adventure,Mystery,24.526979808,1.72718483106
31,Adventure,Romance,24.2335448099,1.71582412718
32,Adventure,Sci-Fi,19.5670313355,1.53515420683
33,Adventure,Thriller,24.3667772484,1.72098238809
34,Adventure,War,18.3310870596,1.48730307448
35,Adventure,Western,14.1235577591,1.32440330193
36,Animation,Action,24.9213639589,1.74245390797
37,Animation,Adventure,16.2589694688,1.40707844379
38,Animation,Children,10.2540751044,1.17459142914
39,Animation,Comedy,18.6607545321,1.50006656404
40,Animation,Crime,19.7720861394,1.54309316067
41,Animation,Documentary,18.355991642,1.48826728661
42,Animation,Drama,23.1687870248,1.67460069447
43,Animation,Fantasy,13.0476578267,1.28274848701
45,Animation,Horror,20.4650733725,1.56992303032
46,Animation,IMAX,15.4038578957,1.37397172704
47,Animation,Musical,15.2508847566,1.36804918016
48,Animation,Mystery,20.9700525992,1.58947393426
49,Animation,Romance,18.2326988747,1.48349385253
50,Animation,Sci-Fi,17.328678366,1.44849356502
51,Animation,Thriller,20.900737665,1.58679031967
52,Animation,War,18.6877488659,1.50111168352
53,Animation,Western,15.2620431289,1.36848119053
54,Children,Action,26.6573564242,1.80966503296
55,Children,Adventure,17.4764286315,1.45421390181
56,Children,Animation,10.2540751044,1.17459142914
57,Children,Comedy,18.8814410208,1.50861071816
58,Children,Crime,22.533257805,1.64999538385
59,Children,Documentary,20.1249451764,1.55675454073
60,Children,Drama,25.6201739689,1.76950921372
61,Children,Fantasy,13.0329643478,1.28217961055
63,Children,Horror,21.3863295364,1.60559061784
64,Children,IMAX,16.0935679676,1.40067471728
