,genre1,genre2,diff,norm_diff
0,Action,Adventure,6.48074069841,1.61565900726
1,Action,Animation,9.64365076099,2.0
2,Action,Biography,6.48074069841,1.61565900726
3,Action,Crime,6.92820323028,1.6700324135
4,Action,Documentary,6.48074069841,1.61565900726
5,Action,Drama,6.92820323028,1.6700324135
6,Action,Family,9.16515138991,1.94185515248
7,Action,Horror,6.92820323028,1.6700324135
8,Action,Mystery,6.92820323028,1.6700324135
9,Action,Romance,6.48074069841,1.61565900726
10,Action,Sci-Fi,9.64365076099,2.0
11,Action,Sport,6.48074069841,1.61565900726
12,Action,Thriller,6.92820323028,1.6700324135
13,Action,War,6.48074069841,1.61565900726
14,Adventure,Action,6.48074069841,1.61565900726
15,Adventure,Animation,1.41421356237,1.0
17,Adventure,Crime,2.44948974278,1.12580157736
19,Adventure,Drama,2.44948974278,1.12580157736
20,Adventure,Family,6.48074069841,1.61565900726
21,Adventure,Horror,2.44948974278,1.12580157736
22,Adventure,Mystery,2.44948974278,1.12580157736
26,Adventure,Thriller,2.44948974278,1.12580157736
28,Animation,Action,9.64365076099,2.0
29,Animation,Adventure,1.41421356237,1.0
31,Animation,Crime,2.44948974278,1.12580157736
33,Animation,Drama,2.44948974278,1.12580157736
34,Animation,Family,9.64365076099,2.0
35,Animation,Horror,2.44948974278,1.12580157736
36,Animation,Mystery,2.44948974278,1.12580157736
40,Animation,Thriller,2.44948974278,1.12580157736
42,Biography,Action,6.48074069841,1.61565900726
45,Biography,Crime,2.44948974278,1.12580157736
47,Biography,Drama,2.44948974278,1.12580157736
48,Biography,Family,6.48074069841,1.61565900726
49,Biography,Horror,2.44948974278,1.12580157736
50,Biography,Mystery,2.44948974278,1.12580157736
54,Biography,Thriller,2.44948974278,1.12580157736
56,Crime,Action,6.92820323028,1.6700324135
57,Crime,Adventure,2.44948974278,1.12580157736
58,Crime,Animation,2.44948974278,1.12580157736
59,Crime,Biography,2.44948974278,1.12580157736
60,Crime,Documentary,2.44948974278,1.12580157736
61,Crime,Drama,3.46410161514,1.24909213149
62,Crime,Family,6.92820323028,1.6700324135
63,Crime,Horror,3.33541601603,1.23345490187
65,Crime,Romance,2.44948974278,1.12580157736
66,Crime,Sci-Fi,2.44948974278,1.12580157736
67,Crime,Sport,2.44948974278,1.12580157736
69,Crime,War,2.44948974278,1.12580157736
70,Documentary,Action,6.48074069841,1.61565900726
74,Documentary,Crime,2.44948974278,1.12580157736
75,Documentary,Drama,2.44948974278,1.12580157736
76,Documentary,Family,6.48074069841,1.61565900726
77,Documentary,Horror,2.44948974278,1.12580157736
78,Documentary,Mystery,2.44948974278,1.12580157736
82,Documentary,Thriller,2.44948974278,1.12580157736
84,Drama,Action,6.92820323028,1.6700324135
85,Drama,Adventure,2.44948974278,1.12580157736
86,Drama,Animation,2.44948974278,1.12580157736
87,Drama,Biography,2.44948974278,1.12580157736
88,Drama,Crime,3.46410161514,1.24909213149
89,Drama,Documentary,2.44948974278,1.12580157736
90,Drama,Family,6.92820323028,1.6700324135
92,Drama,Mystery,3.33541601603,1.23345490187
93,Drama,Romance,2.44948974278,1.12580157736
94,Drama,Sci-Fi,2.44948974278,1.12580157736
95,Drama,Sport,2.44948974278,1.12580157736
96,Drama,Thriller,3.46410161514,1.24909213149
97,Drama,War,2.44948974278,1.12580157736
98,Family,Action,9.16515138991,1.94185515248
99,Family,Adventure,6.48074069841,1.61565900726
100,Family,Animation,9.64365076099,2.0
101,Family,Biography,6.48074069841,1.61565900726
102,Family,Crime,6.92820323028,1.6700324135
103,Family,Documentary,6.48074069841,1.61565900726
104,Family,Drama,6.92820323028,1.6700324135
105,Family,Horror,6.92820323028,1.6700324135
106,Family,Mystery,6.92820323028,1.6700324135
107,Family,Romance,6.48074069841,1.61565900726
108,Family,Sci-Fi,9.64365076099,2.0
109,Family,Sport,6.48074069841,1.61565900726
110,Family,Thriller,6.92820323028,1.6700324135
111,Family,War,6.48074069841,1.61565900726
112,Horror,Action,6.92820323028,1.6700324135
113,Horror,Adventure,2.44948974278,1.12580157736
114,Horror,Animation,2.44948974278,1.12580157736
115,Horror,Biography,2.44948974278,1.12580157736
116,Horror,Crime,3.33541601603,1.23345490187
117,Horror,Documentary,2.44948974278,1.12580157736
119,Horror,Family,6.92820323028,1.6700324135
121,Horror,Romance,2.44948974278,1.12580157736
122,Horror,Sci-Fi,2.44948974278,1.12580157736
123,Horror,Sport,2.44948974278,1.12580157736
124,Horror,Thriller,3.46410161514,1.24909213149
125,Horror,War,2.44948974278,1.12580157736
126,Mystery,Action,6.92820323028,1.6700324135
127,Mystery,Adventure,2.44948974278,1.12580157736
128,Mystery,Animation,2.44948974278,1.12580157736
129,Mystery,Biography,2.44948974278,1.12580157736
131,Mystery,Documentary,2.44948974278,1.12580157736
132,Mystery,Drama,3.33541601603,1.23345490187
133,Mystery,Family,6.92820323028,1.6700324135
135,Mystery,Romance,2.44948974278,1.12580157736
136,Mystery,Sci-Fi,2.44948974278,1.12580157736
137,Mystery,Sport,2.44948974278,1.12580157736
138,Mystery,Thriller,3.33541601603,1.23345490187
139,Mystery,War,2.44948974278,1.12580157736
140,Romance,Action,6.48074069841,1.61565900726
144,Romance,Crime,2.44948974278,1.12580157736
146,Romance,Drama,2.44948974278,1.12580157736
147,Romance,Family,6.48074069841,1.61565900726
148,Romance,Horror,2.44948974278,1.12580157736
149,Romance,Mystery,2.44948974278,1.12580157736
152,Romance,Thriller,2.44948974278,1.12580157736
154,Sci-Fi,Action,9.64365076099,2.0
158,Sci-Fi,Crime,2.44948974278,1.12580157736
160,Sci-Fi,Drama,2.44948974278,1.12580157736
161,Sci-Fi,Family,9.64365076099,2.0
162,Sci-Fi,Horror,2.44948974278,1.12580157736
163,Sci-Fi,Mystery,2.44948974278,1.12580157736
166,Sci-Fi,Thriller,2.44948974278,1.12580157736
168,Sport,Action,6.48074069841,1.61565900726
172,Sport,Crime,2.44948974278,1.12580157736
174,Sport,Drama,2.44948974278,1.12580157736
175,Sport,Family,6.48074069841,1.61565900726
176,Sport,Horror,2.44948974278,1.12580157736
177,Sport,Mystery,2.44948974278,1.12580157736
180,Sport,Thriller,2.44948974278,1.12580157736
182,Thriller,Action,6.92820323028,1.6700324135
183,Thriller,Adventure,2.44948974278,1.12580157736
184,Thriller,Animation,2.44948974278,1.12580157736
185,Thriller,Biography,2.44948974278,1.12580157736
187,Thriller,Documentary,2.44948974278,1.12580157736
188,Thriller,Drama,3.46410161514,1.24909213149
189,Thriller,Family,6.92820323028,1.6700324135
190,Thriller,Horror,3.46410161514,1.24909213149
191,Thriller,Mystery,3.33541601603,1.23345490187
192,Thriller,Romance,2.44948974278,1.12580157736
193,Thriller,Sci-Fi,2.44948974278,1.12580157736
194,Thriller,Sport,2.44948974278,1.12580157736
195,Thriller,War,2.44948974278,1.12580157736
196,War,Action,6.48074069841,1.61565900726
200,War,Crime,2.44948974278,1.12580157736
202,War,Drama,2.44948974278,1.12580157736
203,War,Family,6.48074069841,1.61565900726
204,War,Horror,2.44948974278,1.12580157736
205,War,Mystery,2.44948974278,1.12580157736
209,War,Thriller,2.44948974278,1.12580157736
